ID	Replicate	Method	Protein	DeepMito
122	2	4	var1	ca4820c0-4beb-4fc5-9d73-90d1f55a52de
123	2	5	var1	9af35aa2-1157-424c-bd3c-e139b3d38fe5
124	2	6	var1	ee364506-ce6d-4928-b12b-93cc982abba8
125	2	7	var1	896ed42b-8f88-4276-8bb1-932841082868
126	2	8	var1	cf7b6540-8fd6-4d6f-9cb9-75aff19bfbaf
127	2	9	var1	72c9162d-fec1-4690-8489-24287a761a82
128	3	1	var1	f4cb17a8-8496-4cba-8ff0-af395299e6a0
129	3	2	var1	049d6347-fe0e-4673-b225-c8a5add8958f
130	3	3	var1	51db1e1e-dd6a-45ad-969b-3344c1bbb1da
131	3	4	var1	45b94ffe-a79a-4c29-b3ab-c629647072c3
132	3	5	var1	69c889e0-0153-4f19-9e3a-0e7ac2da1f6c
133	3	6	var1	677cd8dc-fd60-47fd-969a-8c0268a23850
134	3	7	var1	08fe2b84-c6bf-4782-8da6-10ede4d6eb1f
135	3	8	var1	027c18bd-c331-4f1f-88e9-154046c31044
136	3	9	var1	fb92d778-f309-4339-a79a-ae2aecf94f55
137	1	1	coa4	88913f1d-b7bb-4e42-b674-181c2856adcb
138	1	1	mmf1	453add73-67aa-4b4e-99dd-e39829177d3f
139	1	2	coa4	5485c5f3-f951-4ed4-ac39-41f2a296048d
140	1	2	mmf1	cb4646bd-9f0c-4b4e-ae3a-58b34ea7a74c
141	1	3	coa4	96cdc21f-ef64-4267-a8aa-ffc8454cac49
142	1	3	mmf1	1d074629-9316-49cc-b202-b21179ee8b8a
143	1	4	coa4	70e20afc-f730-4445-9596-c9743dd5342a
144	1	4	mmf1	5c7f05f1-9ef0-4133-ba9a-a0e8478fc7de
145	1	5	coa4	253a15e4-df02-4e7f-9702-81168e512d08
146	1	5	mmf1	2712d4fe-43ca-47fa-9ab9-090ad61ee31d
147	1	6	coa4	1dea7994-e02f-4a52-9b7c-a657a5e59e87
148	1	6	mmf1	8d8c310a-2833-4ae0-9fff-3b531de0c97c
149	1	7	coa4	b0a45ac1-737e-4735-ab26-955cb30f86f8
150	1	7	mmf1	18aa56d7-c861-40ea-ba1c-74c59de0e7db
151	1	8	coa4	da4acaab-a086-4694-91ec-47d9679f27df
152	1	8	mmf1	82f5c1f6-75bf-4cab-8115-403c9295e603
153	1	9	coa4	41e2fc8d-492f-4eeb-af91-b16f94fcbc27
154	1	9	mmf1	8a7584a1-6551-48b9-93ae-4357f9c1634d
155	2	1	coa4	14e28e5b-5796-4d3c-a53b-bded506c5af6
156	2	1	mmf1	d9c517af-5197-4966-b8a2-6b669191fabb
157	2	2	coa4	a276344f-4c6e-4b3c-a041-3b7268d8547d
158	2	2	mmf1	01657a3a-8370-43ab-b65d-3c41558d7e67
159	2	3	coa4	1f415c0d-cc9e-424d-8272-d45a5154169f
160	2	3	mmf1	c66f3425-03cf-4d1b-904a-972d67e60105
161	2	4	coa4	69b4730d-6b41-4a89-9a7a-e493adbd3483
162	2	4	mmf1	a0a934fc-ac9c-44f8-a9b1-8abc9ea8e724
163	2	5	coa4	2294381d-5154-44aa-9fe7-4222927f6420
164	2	5	mmf1	321251a0-621e-4ba8-b8b3-765187777ee3
165	2	6	coa4	061e8958-a82c-43d1-b93d-eb0ddfb542d2
166	2	6	mmf1	2f67cefd-5988-4a7d-a002-74d6300d8d29
167	2	7	coa4	53899605-339e-4760-9574-07923acb7744
168	2	7	mmf1	15746948-7534-44ee-a0fc-e9cbb56b8fdd
169	2	8	coa4	7328f1e9-11f8-439e-8a0c-53282786371c
170	2	8	mmf1	70a74340-0bd4-4bbe-afbe-af921112d0b2
171	2	9	coa4	533ac113-66d9-4ca6-9474-d2f15b46c03c
172	2	9	mmf1	a243a4c1-81a2-41e9-a9d0-3a32e7a044fe
173	3	1	coa4	a068fccc-0145-4ecc-b074-7fcda89588bf
174	3	1	mmf1	8b09ec12-0ddc-4b8e-8248-2fa0828f40eb
175	3	2	coa4	3df2fcc2-e053-47f3-a82b-3c2ccec5e2c3
176	3	2	mmf1	f10a2822-9d26-41e0-a194-b2484b7bf575
177	3	3	coa4	713a3766-a893-4146-b96e-71d9f6c29706
178	3	3	mmf1	311ec222-3c77-435a-add9-af483034ccbb
179	3	4	coa4	bf4f22cb-8464-46f4-bc91-7d8c4462a1b4
180	3	4	mmf1	3d289db0-23af-47f7-ae57-2f7484e8afc0
181	3	5	coa4	97ff1f93-c40d-4764-90b6-bb6d737efac8
182	3	5	mmf1	c2d788ad-c25e-495f-92b6-90bc5a5d40e8
183	3	6	coa4	0d11ff01-f546-4ad3-a500-26b144a7697f
184	3	6	mmf1	30e5d1e3-3ef0-4dba-a57d-3755f7e052c9
185	3	7	coa4	3996524d-5f01-4db9-8f73-d77f5310d5e2
186	3	7	mmf1	46ddcfc3-f780-4222-b1e0-8c2e5396a8fb
187	3	8	coa4	1d0fc598-270f-459f-b4e7-6bdec168f1eb
188	3	8	mmf1	842f9739-843a-4e51-9b44-c1995004d1be
189	3	9	coa4	3eabe96f-32fd-4784-b872-cebc5ccc160d
190	3	9	mmf1	db0d7acc-c718-4559-afc2-ba67400802f0
